Unnamed: 0,Age,Sex,Job,Housing,Saving_accounts,Checking_account,Credit_amount,Duration,Purpose,Risk
975,57,female,1,own,quite rich,rich,1258,24,radio/TV,good
735,29,female,0,own,,moderate,3990,36,domestic appliances,good
115,47,male,2,own,,,3578,48,radio/TV,good
209,55,male,2,own,rich,,1413,12,car,good
257,29,male,2,free,little,little,2149,12,radio/TV,bad
622,38,male,2,own,,,3914,48,business,bad
90,56,male,2,own,little,,618,12,radio/TV,good
821,24,male,2,own,little,rich,3016,12,radio/TV,good
985,25,female,2,rent,little,little,1433,15,furniture/equipment,good
722,24,female,1,own,little,little,1228,12,car,bad
305,33,male,2,own,rich,,1543,6,furniture/equipment,good
694,28,male,2,own,little,,2284,24,radio/TV,good
596,23,female,2,rent,little,little,1442,24,car,bad
30,36,male,2,own,rich,moderate,1913,18,business,good
398,46,male,2,rent,little,moderate,1223,12,car,bad
882,36,male,2,own,,moderate,2181,30,car,good
165,32,male,2,own,quite rich,,2978,6,furniture/equipment,good
424,25,female,2,own,,moderate,2762,12,furniture/equipment,bad
407,27,male,2,own,little,little,1053,15,radio/TV,good
977,42,male,2,own,,moderate,2427,18,business,good
423,34,male,3,own,moderate,,1591,21,furniture/equipment,good
564,37,male,3,own,,moderate,4712,24,business,good
454,31,male,2,own,little,little,4817,24,car,bad
276,26,female,2,own,little,,2404,18,radio/TV,good
798,54,male,2,own,,,717,24,car,good
785,35,male,1,own,rich,moderate,1941,18,business,good
916,32,male,2,own,moderate,,2848,10,car,good
730,33,male,2,own,little,moderate,6403,24,radio/TV,good
463,38,male,2,own,,moderate,754,12,education,good
971,43,male,1,own,little,,7393,24,car,good
863,32,male,1,own,rich,,4526,27,furniture/equipment,good
731,21,male,1,rent,little,little,1987,24,radio/TV,bad
857,28,male,2,free,little,,3343,15,furniture/equipment,good
799,35,male,0,own,,moderate,1549,9,car,good
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad
656,41,male,1,own,little,moderate,888,12,car,bad
457,35,male,2,free,little,little,3386,12,car,bad
13,60,male,1,own,little,little,1199,24,car,bad
535,33,male,2,rent,little,rich,2319,21,education,bad
957,37,male,1,own,little,moderate,1154,9,radio/TV,good
159,34,male,1,own,,,1898,6,radio/TV,good
522,53,male,2,free,little,little,7119,48,furniture/equipment,bad
484,44,male,2,own,quite rich,,1163,12,car,good
182,40,male,1,own,,little,1647,21,car,bad
274,34,male,1,own,little,little,11998,30,repairs,bad
361,37,male,3,own,,rich,3399,12,radio/TV,good
697,38,female,0,own,little,,926,12,car,good
856,40,female,2,own,,,894,10,education,good
478,39,male,1,own,moderate,moderate,1037,12,business,good
222,30,male,2,own,little,,707,12,radio/TV,good
314,29,male,1,own,,rich,1494,4,car,good
952,28,female,2,rent,quite rich,moderate,4113,24,car,bad
744,30,male,3,own,,little,14179,39,furniture/equipment,good
412,42,male,3,own,little,,2292,12,business,bad
910,34,female,2,own,little,,4454,36,radio/TV,good
562,29,female,2,own,little,rich,683,6,radio/TV,good
779,67,female,2,own,little,moderate,3872,18,repairs,good
302,37,male,1,own,,rich,1344,24,car,bad
474,33,male,2,own,little,moderate,1245,18,radio/TV,bad
46,39,male,2,own,quite rich,,2299,36,radio/TV,good
164,36,male,2,own,quite rich,,909,36,car,good
581,49,male,1,own,little,moderate,3124,12,car,good
839,46,male,2,own,little,,2611,24,radio/TV,good
572,26,female,3,rent,,,5433,24,car,good
494,39,male,1,rent,little,little,2122,12,car,good
810,26,male,2,own,little,moderate,907,8,business,good
624,65,male,2,free,little,little,2600,18,radio/TV,bad
16,53,male,2,own,,,2424,24,radio/TV,good
571,38,male,2,own,little,,5954,30,radio/TV,good
690,25,male,2,own,little,little,975,15,furniture/equipment,good
631,44,male,2,own,little,little,1553,18,furniture/equipment,bad
788,50,male,2,free,little,moderate,6224,48,education,bad
789,27,male,2,own,little,little,5998,40,education,bad
777,25,female,2,own,little,little,3509,18,radio/TV,good
687,30,male,2,free,moderate,moderate,2862,36,car,good
89,28,male,2,own,little,little,1108,12,repairs,bad
929,43,male,1,own,little,little,1344,12,car,good
989,48,male,1,own,little,moderate,1743,24,radio/TV,good
371,33,male,2,own,little,,6070,18,radio/TV,good
546,37,female,2,own,little,,2022,24,car,good
335,44,male,3,rent,little,little,3384,6,furniture/equipment,bad
235,30,male,3,own,little,little,1823,24,radio/TV,bad
840,29,male,2,own,little,little,5179,36,furniture/equipment,bad
185,31,male,2,own,little,,1360,15,radio/TV,good
54,57,male,2,free,little,moderate,2225,36,car,bad
871,46,male,2,own,little,rich,1343,6,car,good
680,56,female,2,own,little,,1538,6,education,good
760,59,female,2,own,,,5045,15,car,good
505,27,male,1,own,,,1309,10,car,bad
190,54,male,3,own,rich,,4591,24,business,bad
754,55,male,2,free,rich,,1555,12,repairs,bad
818,43,male,3,own,little,little,15857,36,vacation/others,good
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,good
324,36,female,2,own,little,,1028,18,car,good
328,31,male,2,own,little,rich,4473,36,radio/TV,good
47,23,female,0,rent,quite rich,little,1352,6,car,good
509,45,male,3,own,moderate,,8588,39,car,good
737,35,male,1,own,moderate,little,4380,18,car,good
823,47,male,1,own,little,little,731,8,car,good
954,29,female,2,own,little,little,1893,12,car,good
445,41,female,1,rent,,,1244,9,education,good
498,32,male,1,own,little,moderate,1301,18,radio/TV,good
719,31,male,2,own,moderate,moderate,6148,20,car,good
634,25,female,1,own,little,moderate,1355,24,car,bad
105,39,male,3,own,little,moderate,11938,24,vacation/others,bad
258,23,female,2,own,moderate,,3812,15,car,good
868,37,male,2,own,,,7409,36,business,good
887,23,male,2,own,little,moderate,15672,48,business,bad
52,25,male,2,own,little,,1262,12,radio/TV,good
984,30,male,1,own,little,,2028,24,furniture/equipment,good
298,43,male,2,own,little,,2515,18,furniture/equipment,good
232,35,male,2,own,moderate,,2141,12,radio/TV,good
963,35,male,2,own,quite rich,,2397,24,radio/TV,bad
97,34,male,2,own,moderate,moderate,2622,18,business,good
349,32,male,2,free,rich,moderate,1136,9,education,bad
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad
825,30,male,2,own,little,little,1602,21,car,good
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good
644,32,male,3,own,little,little,1880,18,radio/TV,good
486,52,male,2,own,little,,3077,12,radio/TV,good
575,24,female,2,own,little,,2788,15,furniture/equipment,good
696,29,male,2,own,little,moderate,1103,12,radio/TV,good
594,40,male,3,own,,little,1358,24,vacation/others,bad
447,35,male,2,own,little,moderate,2576,7,radio/TV,good
900,43,male,2,rent,little,little,2625,16,car,bad
111,23,female,2,rent,little,rich,392,15,education,good
573,22,female,1,own,little,little,806,15,business,good
36,31,male,2,free,little,,6110,48,education,good
402,27,male,2,own,little,,8648,24,business,bad
67,22,male,2,own,rich,moderate,1007,12,car,good
793,51,male,2,free,little,rich,2892,24,furniture/equipment,good
17,25,male,2,own,,little,8072,30,business,good
98,36,male,2,own,little,moderate,2337,36,radio/TV,good
87,47,male,2,free,moderate,moderate,12612,36,education,bad
312,26,female,2,own,little,rich,3749,24,furniture/equipment,good
812,24,male,2,own,little,little,9629,36,car,bad
732,44,female,1,own,little,moderate,760,8,radio/TV,good
870,40,female,2,own,quite rich,,7678,36,furniture/equipment,good
920,28,female,2,own,little,,1817,18,furniture/equipment,good
738,45,male,3,own,little,,6761,6,car,good
645,27,male,2,rent,,,7980,36,business,bad
206,43,male,2,own,little,,1935,12,furniture/equipment,good
267,38,female,2,own,little,,1533,24,radio/TV,good
82,24,female,1,rent,moderate,,1568,18,business,good
37,37,male,2,own,little,rich,2100,18,radio/TV,bad
18,44,female,3,free,little,moderate,12579,24,car,bad
359,23,female,2,rent,little,little,2406,30,furniture/equipment,bad
254,24,male,2,own,,moderate,2030,9,furniture/equipment,good
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad
878,27,male,3,free,little,little,1422,9,car,bad
61,50,male,2,own,,moderate,1537,15,radio/TV,good
101,24,male,2,rent,little,moderate,2323,36,radio/TV,good
994,50,male,2,own,,,2390,12,car,good
804,24,female,0,rent,,moderate,7472,12,car,good
552,34,male,2,own,little,little,6999,48,radio/TV,bad
432,36,male,3,free,little,little,1872,6,furniture/equipment,good
854,45,male,2,own,little,,10875,36,car,good
679,26,female,2,own,little,,1453,18,radio/TV,good
708,25,female,2,own,little,moderate,1206,9,radio/TV,good
44,58,female,1,free,little,little,6143,48,car,bad
877,28,male,2,own,little,,3595,36,radio/TV,good
120,25,female,2,own,little,little,1835,21,radio/TV,bad
775,25,female,2,rent,,little,1371,24,car,bad
181,30,male,3,own,little,moderate,4455,36,business,bad
558,27,male,2,own,little,little,3552,24,furniture/equipment,bad
767,31,female,2,rent,,,2901,10,car,good
751,23,female,1,own,little,little,976,18,car,bad
899,42,male,2,own,little,little,4153,18,furniture/equipment,bad
539,45,female,1,own,little,rich,3049,18,furniture/equipment,good
880,38,male,3,own,little,,7814,24,car,good
126,40,male,1,own,little,little,701,12,radio/TV,good
296,20,female,2,rent,,,4675,12,car,good
541,60,male,2,free,little,,2032,24,car,good
427,46,male,2,own,rich,,1149,18,radio/TV,good
372,23,female,2,rent,little,,2146,10,furniture/equipment,good
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad
600,45,female,2,own,little,moderate,2329,7,radio/TV,good
492,27,female,2,own,moderate,,1237,6,radio/TV,good
375,37,female,2,rent,little,little,7685,48,business,bad
108,30,female,2,own,,little,7721,24,furniture/equipment,good
20,48,male,2,own,little,,2134,9,car,good
332,24,female,3,own,moderate,moderate,7408,60,car,bad
701,46,male,2,free,little,little,6331,48,car,bad
982,28,female,3,own,moderate,rich,2923,21,car,good
233,25,male,1,own,little,moderate,866,18,radio/TV,good
933,42,male,2,own,quite rich,,522,12,radio/TV,good
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad
872,26,male,2,own,moderate,little,1382,24,business,good
27,42,female,2,rent,rich,rich,409,12,radio/TV,good
578,27,male,2,own,little,moderate,2820,36,car,bad
688,35,male,2,own,moderate,,2753,9,radio/TV,good
281,50,male,2,own,little,,1574,12,furniture/equipment,good
770,26,female,2,rent,,little,2812,24,car,good
11,24,female,2,rent,little,little,4308,48,business,bad
712,46,male,3,own,,,2476,21,car,good
351,29,female,2,own,little,moderate,959,9,furniture/equipment,bad
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,good
119,36,male,3,own,quite rich,moderate,2366,12,car,good
125,30,male,2,own,little,little,2121,12,car,good
179,65,male,2,own,little,little,571,21,car,good
805,24,male,2,own,little,little,9271,36,car,bad
331,30,female,2,own,moderate,,1864,18,education,bad
175,53,female,3,own,,,7485,30,car,bad
272,36,male,3,free,,moderate,12169,48,car,good
156,48,male,2,own,moderate,little,1288,9,repairs,good
217,23,male,2,own,little,rich,3913,36,radio/TV,good
859,26,male,2,rent,moderate,,3577,9,car,good
88,30,male,3,own,moderate,little,2249,18,car,good
625,35,male,2,own,,,1979,15,radio/TV,good
321,32,male,2,own,little,little,1938,24,radio/TV,bad
633,19,female,2,rent,little,,1980,9,furniture/equipment,bad
449,61,male,2,own,rich,moderate,1512,15,repairs,bad
388,27,male,2,own,quite rich,moderate,2326,15,business,good
682,33,male,2,own,little,,1478,15,radio/TV,good
129,29,female,2,own,little,little,3499,12,car,bad
294,46,male,3,own,,,7629,48,business,good
289,48,male,2,own,little,little,1024,24,radio/TV,bad
225,27,male,2,own,little,,2613,36,repairs,good
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,bad
782,31,male,1,own,little,moderate,1410,12,education,good
875,40,female,2,own,rich,moderate,1322,11,car,good
996,40,male,3,own,little,little,3857,30,car,good
650,50,male,3,free,little,little,7476,48,education,good
912,25,female,2,own,,moderate,2991,30,radio/TV,good
530,32,male,2,own,little,moderate,2273,36,education,good
876,36,male,3,free,little,little,1940,18,radio/TV,good
323,28,male,2,own,rich,little,2659,18,furniture/equipment,good
831,23,female,2,rent,little,little,1216,18,car,bad
710,32,male,3,own,quite rich,,629,18,radio/TV,good
218,24,male,1,rent,little,little,3021,24,furniture/equipment,good
550,23,female,2,own,,,996,12,repairs,good
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good
807,65,male,2,own,,,930,12,radio/TV,good
160,36,male,2,own,moderate,,2872,24,radio/TV,good
695,50,male,2,rent,quite rich,,1236,6,car,good
33,57,male,1,rent,,,1264,12,business,good
338,28,male,2,own,little,little,4169,24,furniture/equipment,good
468,26,female,2,own,little,,2764,33,business,good
367,22,female,2,rent,little,little,3650,18,furniture/equipment,good
110,31,male,2,own,moderate,moderate,1449,6,business,good
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,good
168,25,female,2,rent,little,,3972,24,furniture/equipment,good
761,24,female,2,rent,little,little,2124,18,furniture/equipment,bad
521,24,female,2,own,little,little,3190,18,radio/TV,bad
333,24,female,1,rent,moderate,,11590,48,car,bad
365,36,male,2,own,little,,1542,12,business,good
325,39,male,1,own,little,little,3398,8,car,good
413,40,male,1,rent,quite rich,,1597,10,car,good
721,24,female,2,rent,rich,moderate,433,6,education,bad
881,48,male,2,free,,,9277,24,car,good
193,29,male,2,rent,little,,2108,6,radio/TV,good
786,40,male,2,own,quite rich,,2675,22,radio/TV,good
231,51,male,1,free,quite rich,,2507,9,car,good
686,27,male,2,own,,rich,1347,10,radio/TV,good
282,49,male,1,own,,rich,1445,18,radio/TV,good
450,30,male,3,own,,,11054,36,car,good
507,34,male,3,own,moderate,moderate,6850,15,car,bad
514,54,male,2,own,,,2255,24,car,good
5,35,male,1,free,,,9055,36,education,good
822,41,male,2,own,little,little,2712,36,furniture/equipment,bad
397,46,male,2,own,little,little,2348,36,furniture/equipment,good
2,49,male,1,own,little,,2096,12,education,good
846,68,male,2,rent,,,6761,18,car,bad
466,29,female,1,rent,little,little,1659,24,radio/TV,bad
311,25,male,2,own,moderate,,5511,24,furniture/equipment,good
976,64,female,2,own,little,moderate,753,6,radio/TV,good
609,45,male,2,free,,,1300,15,car,good
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good
639,26,male,2,own,little,little,4370,42,radio/TV,bad
28,34,male,2,own,little,moderate,2415,7,radio/TV,good
864,25,male,1,rent,little,,2210,10,furniture/equipment,bad
43,24,male,2,rent,moderate,little,6187,30,car,good
941,31,male,1,own,little,,1546,10,car,good
619,49,male,1,own,little,,640,12,car,good
757,39,male,2,free,,rich,1271,15,radio/TV,bad
177,52,male,2,own,quite rich,little,338,6,radio/TV,good
850,33,male,2,rent,little,little,2235,20,car,bad
8,61,male,1,own,rich,,3059,12,radio/TV,good
173,33,male,2,own,little,moderate,1414,8,radio/TV,good
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,bad
416,33,male,1,own,little,little,2579,12,car,bad
451,29,female,2,own,little,,518,6,radio/TV,good
780,25,male,2,own,little,moderate,4933,39,radio/TV,bad
972,29,female,0,rent,little,little,1193,24,car,bad
286,26,male,2,own,little,little,4788,48,car,good
885,53,female,2,own,little,little,795,12,education,bad
384,26,male,1,own,moderate,,4272,30,business,good
965,26,female,2,own,,moderate,1715,30,radio/TV,good
616,27,male,3,free,,moderate,9157,60,radio/TV,good
10,25,female,2,rent,little,moderate,1295,12,car,bad
587,21,male,1,own,little,little,1289,12,furniture/equipment,good
771,25,female,3,own,little,little,8065,36,education,bad
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad
77,51,male,2,own,little,moderate,4771,11,radio/TV,good
542,31,male,2,own,,little,6350,30,furniture/equipment,bad
570,23,female,1,rent,little,little,3234,24,furniture/equipment,bad
285,35,female,1,own,little,little,10722,47,car,good
495,20,male,2,own,,little,2996,24,furniture/equipment,bad
243,27,female,2,own,little,,1185,12,business,good
766,31,male,1,own,little,little,3108,30,furniture/equipment,bad
613,22,female,2,rent,little,little,3632,24,car,good
510,26,male,2,own,little,little,759,12,car,bad
988,29,male,3,free,little,little,6579,24,car,good
556,28,female,2,own,moderate,moderate,2278,18,car,bad
681,37,male,2,free,,,2279,12,radio/TV,good
554,67,female,3,own,little,moderate,1199,9,education,good
189,33,female,2,own,little,moderate,3244,18,furniture/equipment,good
75,66,male,3,free,little,little,1526,12,car,good
84,52,male,1,own,little,little,2315,10,radio/TV,good
310,40,male,0,free,,moderate,5381,48,vacation/others,good
221,23,female,2,rent,,little,1200,12,education,good
716,40,male,2,own,,,3077,30,radio/TV,good
997,38,male,2,own,little,,804,12,radio/TV,good
685,34,male,2,free,,,6527,60,car,good
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,bad
593,20,female,1,rent,little,moderate,2718,24,car,bad
962,29,male,2,own,,,3556,15,car,good
337,24,female,2,rent,,little,1275,15,domestic appliances,bad
320,28,male,3,own,little,moderate,4249,30,car,bad
400,39,male,2,own,little,,1473,18,radio/TV,good
205,38,male,3,free,little,little,10623,30,car,good
266,36,male,2,own,,,6304,36,business,good
674,41,male,1,own,quite rich,,2580,21,business,bad
540,23,male,2,rent,little,moderate,1534,12,radio/TV,bad
128,34,male,3,own,little,moderate,1860,12,car,good
999,27,male,2,own,moderate,moderate,4576,45,car,good
580,30,male,2,own,little,moderate,1056,18,car,bad
953,26,female,3,own,little,,10974,36,furniture/equipment,bad
851,43,male,2,own,,,4042,24,car,good
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad
646,32,male,2,own,little,little,4583,30,furniture/equipment,good
348,34,male,1,own,moderate,,1743,6,business,good
648,38,male,2,free,little,rich,947,24,car,bad
659,41,male,2,own,little,moderate,6361,18,furniture/equipment,good
72,51,male,3,free,little,little,1164,8,vacation/others,good
132,27,male,1,own,little,,2708,15,furniture/equipment,good
758,31,male,2,own,little,,1393,24,car,good
109,35,male,2,own,quite rich,moderate,1410,14,business,good
895,31,male,3,own,,,8947,36,car,good
561,24,male,1,rent,little,little,1546,24,radio/TV,bad
604,23,female,2,own,little,rich,1275,10,furniture/equipment,good
383,26,male,2,own,little,rich,1330,12,car,good
886,34,male,2,own,,moderate,2825,24,business,good
455,29,female,3,own,little,,2679,24,car,good
501,42,male,2,free,little,little,5493,36,car,good
239,39,male,2,own,little,little,2522,30,radio/TV,good
144,23,female,2,own,little,,2288,21,furniture/equipment,good
453,35,male,3,own,little,,2670,24,car,good
861,28,male,2,own,little,,2169,18,business,bad
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad
200,52,male,2,own,quite rich,,936,9,education,good
806,26,male,1,own,little,moderate,590,6,radio/TV,good
791,41,male,3,own,,,6313,24,car,good
715,63,male,2,own,,,7596,30,car,good
511,32,male,3,free,little,,4686,36,car,good
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,good
852,35,male,2,free,little,,1471,15,radio/TV,good
437,37,female,2,own,rich,,1287,24,car,good
617,37,male,2,rent,little,little,3676,6,car,good
377,36,male,2,free,,,846,7,radio/TV,good
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad
750,49,female,2,own,little,little,428,6,furniture/equipment,good
471,23,female,2,own,little,little,448,6,education,bad
186,74,female,3,free,little,moderate,5129,9,car,bad
55,26,male,1,own,,,783,6,car,good
353,28,male,2,rent,little,little,6199,12,radio/TV,bad
252,24,female,2,own,little,moderate,2150,30,car,bad
216,31,male,2,own,little,little,3104,18,business,good
632,23,male,2,own,,moderate,1444,15,radio/TV,good
382,25,female,2,rent,,,1283,22,car,good
973,36,male,2,rent,little,little,7297,60,business,bad
